,Posisi,Nama Perusahaan,Lokasi Magang,Kuota,Tunjangan,Program Studi,Hari Libur,URL
237,Red Team Intern,PT Privy Identitas Digital,Kota Adm. Jakarta Selatan,1 kuota,,"Teknologi Informasi, Ilmu Komputer, Keamanan Sistem Informasi, Sistem dan Teknologi Informasi, Rekayasa Keamanan Siber","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/red-team-intern-a23f9260-3655-4cce-aa68-133db7926671
239,Application Security Intern,PT Privy Identitas Digital,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Keamanan Sistem Informasi, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/application-security-intern-a23b7aa3-4e11-46dd-8284-0a38c69063be
247,Cybersecurity Engineer Intern,PT Privy Identitas Digital,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Ilmu Komputer, Keamanan Sistem Informasi, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/cybersecurity-engineer-intern-a23b7c11-eda9-452e-ba5b-cd9c3bfdf473
248,Value Engineering Operations Intern,PT Privy Identitas Digital,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/value-engineering-operations-intern-a23b7dbd-b885-4ceb-b539-3c09e2eea059
278,Staff AI,PT Momenta Agrikultura,Kota Tangerang Selatan,1 kuota,,"Ilmu Komputer, Teknologi Rekayasa Mesin Pertanian, sistem informasi, Pendidikan Teknik Informatika dan Komputer, Teknologi Sains Data",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staff-ai-a242dcb7-03bf-4c8a-9240-472e38fe10df
346,"Information, Communication & Technology",Pertamina Retail,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Sistem Informasi","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/information,-communication-&-technology-a2440d78-efb7-432a-b360-212cb1a3d3f3"
390,IT Developer,Mitra Bakti Ut,Kota Adm. Jakarta Timur,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-developer-a2295a68-b1ab-4b83-bf2f-7fee30658d80
469,Teknologi Informatika,Herodi Azwa Medika (Bukittinggi Eye Center),Kota Bukittinggi,1 kuota,,"Ilmu Komputer, Sistem Komputer, Sistem Informasi, Teknik informatika, Manajemen Informatika",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/teknologi-informatika-a228bbfb-a249-4495-8bc3-55aef0268125
491,AI/Automation,Dhl Supply Chain Indonesia,Kota Adm. Jakarta Timur,1 kuota,,"Ilmu Komputer, Administrasi Server dan Jaringan Komputer, Ilmu Informatika, Teknik Komputer dan Jaringan, Teknologi Sains Data","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/aiautomation-a226f11d-ed60-4bf7-8d30-caebdee10fc3
496,Backend Developer,Data Nusantara Adhikarya,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/backend-developer-a23f8508-e60e-4838-858e-d9d6f336423e
501,Product Manager,Data Nusantara Adhikarya,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Sistem Informasi Bisnis, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/product-manager-a241624d-a6f3-4555-b89c-6eb7d40940e5
519,IT Technical Support,Biggy Cemerlang,Kota Adm. Jakarta Utara,2 kuota,,"Informatika, Ilmu Komputer, Teknik Komputer Dan Jaringan, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-technical-support-a237c7e0-37d1-45d8-b4ce-fc974630ed12
520,Programmer,Biggy Cemerlang,Kota Adm. Jakarta Utara,2 kuota,,"Ilmu Komputer, Ilmu Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer-a237a459-73ee-437b-8bd9-494a79f00756
521,IT Support,Biggy Cemerlang,Kab. Bogor,2 kuota,,"Informatika, Ilmu Komputer, Ilmu Komunikasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-a237c5b7-177c-430d-97e5-47ca49df274f
544,Digital Business Support Intern,Mass Rapid Transit Jakarta Perseroda,Kota Adm. Jakarta Pusat,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Sains Data Terapan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/digital-business-support-intern-a243c61a-9820-4085-9028-7607cdbeb1de
577,IT Operation Staff Intern (PT JakLingko Indonesia),Mass Rapid Transit Jakarta Perseroda,Kota Adm. Jakarta Selatan,2 kuota,,"Ilmu Komputer, Manajemen Informatika, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-operation-staff-intern-pt-jaklingko-indonesia-a2438745-e178-4226-a91f-10cae02483fe
595,Intern Infrastruktur IT & Digital Services,"Balai Teknik Pantai, Ditjen SDA",Kab. Buleleng,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/intern-infrastruktur-it-&-digital-services-a243d16d-ff06-44c8-8096-e9c4bcecbeb0
659,IT Supoort,Balai Standardisasai dan Pelayanan Jasa Industri Jakarta,Kota Adm. Jakarta Pusat,5 kuota,,"Teknik Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-supoort-a23e0048-acec-449c-9404-15752ff9b48b
755,Anggota Tim Kerja Instrumentasi Kebencanaan Geologi,Balai Penyelidikan dan Pengembangan Teknologi Kebencanaan Geologi,Kota Yogyakarta,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/anggota-tim-kerja-instrumentasi-kebencanaan-geologi-a23f6005-9274-49bc-b86a-cfc8f2bd4363
779,Informasi dan Teknologi,Balai Pengembangan Kompetensi Pekerjaan Umum Wilayah I Medan,Kota Medan,2 kuota,,"Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/informasi-dan-teknologi-a2440a08-f970-45c4-8ab4-bbf8e8577f88
817,Pranata Komputer (transformasi digital dan peningkatan daya saing unit kerja dan IKM),Balai Pemberdayaan Industri Fesyen dan Kriya,Kab. Badung,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-transformasi-digital-dan-peningkatan-daya-saing-unit-kerja-dan-ikm-a23f74d8-815f-40f5-bd53-0393704f4590
821,Pranata Komputer (transformasi digital dan peningkatan daya saing unit kerja dan IKM),Balai Pemberdayaan Industri Fesyen dan Kriya,Kab. Badung,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-transformasi-digital-dan-peningkatan-daya-saing-unit-kerja-dan-ikm-a23f7445-0b38-4973-849d-17d2d3da3215
828,HRIS & Data Management Intern,Biro Sumber Daya Manusia,Kota Adm. Jakarta Pusat,3 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/hris-&-data-management-intern-a2438851-aafa-44e2-9082-4bb34fbc3e74
836,Pustakawan,Biro Hubungan Masyarakat,Kota Adm. Jakarta Selatan,5 kuota,"Ilmu Komputer, Ilmu Perpustakaan, Desain Komunikasi Visual, Sistem informasi, Manajemen Informatika","Ilmu Komputer, Ilmu Perpustakaan, Desain Komunikasi Visual, Sistem informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pustakawan-a243874d-9e9c-4f60-ac42-2f03666313e4
848,Staf Pengelola Aplikasi,Biro Umum dan Hukum,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-pengelola-aplikasi-a241fd1e-f1c2-4c8a-91d4-e98e632f979e
858,Bidang Pengadaan Barang dan Jasa,Biro Hubungan Masyarakat dan Umum,Kota Adm. Jakarta Pusat,1 kuota,,"Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/bidang-pengadaan-barang-dan-jasa-a24337ce-014f-4eb7-9bb9-07d4be06800f
891,Full Stack Programmer,Biro Data dan Informasi,Kota Adm. Jakarta Pusat,3 kuota,,"Informatika, Ilmu Komputer, Teknik informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/full-stack-programmer-a2411523-1620-46ce-9006-f42a124555dc
898,Cyber / IT Security,Biro Data dan Informasi,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/cyber--it-security-a2411e10-0757-4529-9197-dd62d98741a6
908,PRANATA KOMPUTER,"BIRO SUMBER DAYA MANUSIA APARATUR, ORGANISASI DAN KETATALAKSANAAN",Kota Adm. Jakarta Selatan,5 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a23ef2bb-6b62-4f8b-8bd4-4a13e3c589a2
934,Pranata Komputer,Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-komputer-a2440bb6-9565-4e22-95c1-eeb8e33861a9
947,Programmer,Biro Perencanaan,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Kelautan, Ilmu Komputer, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer-a243f1f0-8636-4dd6-8418-4552c0f2ec0f
949,Data Analyst,Biro Perencanaan,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Statistika, Matematika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/data-analyst-a243efde-cbcd-41d8-b5b6-78120f9dd865
978,Database Specialist and Application Developer,Biro SDM Aparatur dan Organisasi,Kota Adm. Jakarta Pusat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/database-specialist-and-application-developer-a243ce66-88b7-440a-8725-e8e90dda2ba4
995,Staf Administrasi Persuratan Menteri,Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Ilmu Komputer, Ilmu Komunikasi, Administrasi Perkantoran, Administrasi Negara","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-administrasi-persuratan-menteri-a243a70a-0f02-4350-b5b2-c9535ab3ebc6
996,Penata Kelola Sistem dan Teknologi Informasi,Biro Kerja Sama Kemnaker,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Dan Teknologi Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-dan-teknologi-informasi-a243c1eb-412a-4750-ae35-47a131f63e05
1010,"IT Support Intern Subbag TU Sekjen, Staf Ahli dan Staf Khusus",Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu","https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-intern-subbag-tu-sekjen,-staf-ahli-dan-staf-khusus-a243a0a8-957a-44d0-9b16-8a89fb114117"
1011,Full Stack Developer Intern,Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/full-stack-developer-intern-a2439ec0-ced0-4632-80e6-76b9a0a99a35
1014,IT Support Intern Bagian PBJ,Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-intern-bagian-pbj-a2439d3b-9032-4bd6-82ee-b1a159af4fcc
1016,IT Support Intern Bagian Rumah Tangga,Biro Umum,Kota Adm. Jakarta Selatan,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-intern-bagian-rumah-tangga-a24395ea-edfe-49a7-8cc2-06bcb8de9fad
1020,IT Support Intern Bagian Tata Usaha Menteri dan Wakil Menteri,Biro Umum,Kota Adm. Jakarta Selatan,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-support-intern-bagian-tata-usaha-menteri-dan-wakil-menteri-a2439492-90f5-414b-9b98-bea313367829
1318,PENGELOLA FASILITAS PUBLIK,RUMAH TAHANAN NEGARA KELAS IIB PANGKALAN BRANDAN,Kab. Langkat,1 kuota,,"Teknik Informatika, Ilmu Komputer, Ilmu Komunikasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-fasilitas-publik-a240fa3d-1ac1-4c6b-a82b-5d3c0f0eb314
1512,Pengelola SDM,BALAI PEMASYARAKATAN KELAS II BOGOR,Kota Bogor,1 kuota,,"Ilmu Komputer, Manajemen","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sdm-a23f5758-0b4f-490c-bc3f-84b539110135
1514,Pengelola BMN,BALAI PEMASYARAKATAN KELAS II BOGOR,Kota Bogor,1 kuota,,"Ilmu Komputer, Manajemen Aset Publik","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-bmn-a23f56b1-6f71-4449-b19b-f69cf57d541e
1677,PENGELOLA ADMINISTRASI DAN TATA TERTIB,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA MALANG,Kota Malang,3 kuota,,"Ilmu Komputer, Ilmu Administrasi Publik, Pemeliharaan Komputer dan Jaringan, Manajemen Administrasi Perkantoran","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-administrasi-dan-tata-tertib-a240e936-1151-4af7-b631-cd2a7d729afa
1678,PENGELOLA SISTEM DATABASE PEMASYARAKATAN,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA MALANG,Kota Malang,3 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Sistem informasi, Teknik Komputer Dan Jaringan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-sistem-database-pemasyarakatan-a240ead8-2f13-4d14-8543-e199a80db17f
2219,Pengelola Kehumasan,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA BANDUNG,Kab. Bandung,1 kuota,,"Informatika, Ilmu Komputer, Hubungan Masyarakat, Ilmu Komunikasi, Hubungan Masyarakat Dan Komunikasi Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a2436084-d7fe-4f35-8f1b-54370efaa28a
2234,Pengelola Kehumasan,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA BANDUNG,Kab. Bandung,1 kuota,,"Informatika, Ilmu Komputer, Hubungan Masyarakat, Ilmu Komunikasi, Hubungan Masyarakat Dan Komunikasi Digital","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a2436084-d7fe-4f35-8f1b-54370efaa28a
2969,Development,Rumah Sakit Umum Pusat Surabaya,Kota Surabaya,3 kuota,,"Teknik Informatika, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/development-a24156da-4790-4966-8e1f-b90558bbacd4
2977,Development,Rumah Sakit Umum Pusat Surabaya,Kota Surabaya,3 kuota,,"Teknik Informatika, Ilmu Komputer, Teknologi Rekayasa Komputer, Sistem Informasi",Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/development-a24156da-4790-4966-8e1f-b90558bbacd4
3045,Programmer Mobile,Rumah Sakit Umum Pusat Makassar,Kota Makassar,2 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer-mobile-a240d85b-b94c-4b1b-827a-3d3074ec4a4f
3059,Programmer Web,Rumah Sakit Umum Pusat Makassar,Kota Makassar,3 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/programmer-web-a240d756-c3f1-47f4-9e94-a66bbb3ce706
3165,DKRI – Asisten Analisis Perencanaan Data,Deputi Bidang Kebijakan Riset dan Inovasi,Kota Adm. Jakarta Pusat,1 kuota,,"Ekonomi Pembangunan, Sains Data, Ilmu Komputer, Ilmu Administrasi Publik, Statistika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/dkri-–-asisten-analisis-perencanaan-data-a243fa72-23d3-4fa9-ae8c-e6de252f2452
3211,PENGELOLA KEHUMASAN,RUMAH TAHANAN NEGARA PEREMPUAN KELAS IIA MEDAN,Kota Medan,1 kuota,,Ilmu Komputer,Minggu,https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-kehumasan-a2416a9a-1297-4e14-a794-061e446b70bb
3364,Staf Pengembangan Strategi Layanan,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-pengembangan-strategi-layanan-a241a14e-afe9-4b68-8cfe-78052afcc1d0
3375,Staf Instalasi Kerjasama Global dan Jejaring,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,Kota Adm. Jakarta Barat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-instalasi-kerjasama-global-dan-jejaring-a241a3ec-894a-406c-a12d-3f3cdc8b8d66
3383,Staf Pengembangan Strategi Layanan,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,Kota Adm. Jakarta Barat,2 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-pengembangan-strategi-layanan-a241a14e-afe9-4b68-8cfe-78052afcc1d0
3384,Staf Instalasi Kerjasama Global dan Jejaring,Rumah Sakit Jantung dan Pembuluh Darah Harapan Kita Jakarta,Kota Adm. Jakarta Barat,1 kuota,,"Teknik Informatika, Teknologi Informasi, Ilmu Komputer, Sistem Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/staf-instalasi-kerjasama-global-dan-jejaring-a241a3ec-894a-406c-a12d-3f3cdc8b8d66
3408,Pengadministrasian keuangan,Rumah Sakit Anak dan Bunda Harapan Kita Jakarta,Kota Adm. Jakarta Barat,1 kuota,,"Ilmu Komputer, Komputer Akutansi, Akuntansi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengadministrasian--keuangan-a2439119-8030-4d4b-8031-7879f6dcd49c
3421,Penata Layanan Operasional,SATPEL MAMUJU,Kab. Mamuju,1 kuota,,"Ilmu Komputer, Manajemen, Administrasi Publik, Administrasi Bisnis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-layanan-operasional-a243b8c4-12dc-47b1-acec-5b9e8225266c
3422,Pengelola data dan Sistem Informasi,SATPEL MAMUJU,Kab. Mamuju,1 kuota,,"Teknik Informatika, Ilmu Komputer, Sistem Informasi, Pendidikan Teknologi Informasi dan Komunikasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pengelola-data-dan-sistem-informasi-a243b76f-1a82-49ed-916e-5aa8c866fe40
3458,asisten instruktur,Satpel PALU,Kota Palu,7 kuota,,"Teknik Mesin, Ilmu Komputer, Teknik Listrik, Elektronika, Tata Rias dan Kecantikan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/asisten-instruktur-a243607c-1e7a-4c02-bf5f-f3f29ac7e448
3459,pranata humas,Satpel PALU,Kota Palu,3 kuota,,"Multimedia, Ilmu Komputer, Hubungan Internasional, Manajemen Pemasaran, Desain Grafis","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/pranata-humas-a2435f10-996c-41d5-96df-c6504952f0f7
3496,Penata Layanan Operasional,BBPVP Serang,Kota Serang,2 kuota,,"Ekonomi Pembangunan, Ilmu Komputer, Manajemen, Administrasi, Administrasi Negara","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-layanan-operasional-a242bb1d-c7e6-418e-adc9-92d7325bc05b
3498,IT Administration Staff,BBPVP Serang,Kota Serang,1 kuota,,"Teknik Informatika, Ilmu Komputer, Rekayasa Perangkat Lunak, Pendidikan Teknik Informatika dan Komputer, manajemen Informasi kesehatan","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/it-administration-staff-a242cc95-3ca6-49ec-b927-6d9410042d3f
3499,Penata Layanan Operasional,BBPVP Serang,Kota Serang,2 kuota,,"Teknik Informatika, Teknologi Rekayasa Perangkat Lunak, Ilmu Komputer, Sistem Informasi, Manajemen Informatika","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-layanan-operasional-a242beca-7576-4b82-98b4-dc728b7355ec
3506,Penata Kelola Sistem dan Tekenologi Informasi,BBPVP Serang,Kota Serang,3 kuota,,"Teknik Informatika, Ilmu Komputer, Teknik Elektro, Sistem informasi, Pendidikan Teknologi Informasi","Sabtu, Minggu",https://maganghub.kemnaker.go.id/magang-nasional/lowongan/penata-kelola-sistem-dan-tekenologi-informasi-a242cb32-c6d6-4f8a-9157-e39e825700f8
